ui_timestamp,sequence,backend_bid,backend_ask,backend_event_time,websocket_bid,websocket_ask,ui_bid,ui_ask,ui_event_time,receipt_to_dom_ms
2026-09-21T08:20:34.447000+00:00,163,4352.70,4353.11,2026-09-21T08:20:34.259000Z,4352.70,4353.11,4352.70,4353.11,2026-09-21T08:20:34.259000Z,68.255
2026-09-21T08:20:34.709000+00:00,164,4352.72,4353.13,2026-09-21T08:20:34.668000Z,4352.72,4353.13,4352.72,4353.13,2026-09-21T08:20:34.668000Z,127.714
2026-09-21T08:20:35.012000+00:00,165,4352.71,4353.13,2026-09-21T08:20:34.867000Z,4352.71,4353.13,4352.71,4353.13,2026-09-21T08:20:34.867000Z,150.92
2026-09-21T08:20:35.324000+00:00,167,4352.73,4353.14,2026-09-21T08:20:35.423000Z,4352.73,4353.14,4352.73,4353.14,2026-09-21T08:20:35.423000Z,37.45
2026-09-21T08:20:35.557000+00:00,168,4352.69,4353.11,2026-09-21T08:20:35.569000Z,4352.69,4353.11,4352.69,4353.11,2026-09-21T08:20:35.569000Z,60.926
2026-09-21T08:20:35.824000+00:00,169,4352.68,4353.10,2026-09-21T08:20:35.782000Z,4352.68,4353.10,4352.68,4353.10,2026-09-21T08:20:35.782000Z,123.962
2026-09-21T08:20:36.077000+00:00,170,4352.68,4353.10,2026-09-21T08:20:35.782000Z,4352.68,4353.10,4352.68,4353.10,2026-09-21T08:20:35.782000Z,177.911
2026-09-21T08:20:36.385000+00:00,172,4352.71,4353.12,2026-09-21T08:20:36.409000Z,4352.71,4353.12,4352.71,4353.12,2026-09-21T08:20:36.409000Z,87.483
2026-09-21T08:20:36.621000+00:00,173,4352.68,4353.10,2026-09-21T08:20:36.585000Z,4352.68,4353.10,4352.68,4353.10,2026-09-21T08:20:36.585000Z,107.296
2026-09-21T08:20:36.892000+00:00,174,4352.58,4353.00,2026-09-21T08:20:36.766000Z,4352.58,4353.00,4352.58,4353.00,2026-09-21T08:20:36.766000Z,151.109
2026-09-21T08:20:37.153000+00:00,176,4352.56,4352.97,2026-09-21T08:20:37.138000Z,4352.56,4352.97,4352.56,4352.97,2026-09-21T08:20:37.138000Z,10.524
2026-09-21T08:20:37.453000+00:00,177,4352.55,4352.97,2026-09-21T08:20:37.385000Z,4352.55,4352.97,4352.55,4352.97,2026-09-21T08:20:37.385000Z,116.059
2026-09-21T08:20:37.693000+00:00,178,4352.55,4352.97,2026-09-21T08:20:37.385000Z,4352.55,4352.97,4352.55,4352.97,2026-09-21T08:20:37.385000Z,150.555
2026-09-21T08:20:37.937000+00:00,179,4352.55,4352.97,2026-09-21T08:20:37.385000Z,4352.55,4352.97,4352.55,4352.97,2026-09-21T08:20:37.385000Z,183.693
